弟 16160 
张 155463 
弥 4099 
弦 1863 
弧 543 
弩 241 
弭 182 
弯 4167 
弱 17738 
弹 29332 
强 306553 
弼 137 
彀 2 
彐 1 
归 24797 
当 307427 
录 57808 
彖 7 
彗 105 
彘 8 
彝 1153 
彡 1 
形 119513 
彤 1519 
彦 3886 
彩 43337 
彪 1809 
彬 4336 
彭 12287 
彰 9040 
影 137498 
彷 165 
役 6957 
彻 31524 
彼 6306 
往 85237 
征 53542 
徂 2 
径 17769 
待 55535 
徇 418 
很 163616 
徉 222 
徊 780 
律 116343 
後 7 
徐 30490 
徒 13632 
徕 246 
得 308668 
徘 777 
徙 794 
徜 223 
御 7386 
徨 124 
循 10821 
徭 14 
微 81689 
徵 88 
德 103379 
徼 3 
徽 16681 
心 362727 
必 78666 
忆 13291 
忌 2091 
忍 8120 
忏 654 
忐 276 
忑 276 
忒 61 
忖 29 
志 89140 
忘 13278 
忙 17054 
忝 11 
忠 18741 
忡 360 
忤 10 
忧 11215 
忪 27 
快 136385 
忭 7 
忱 380 
念 66232 
忸 3 
忻 336 
忽 7374 
忾 30 
忿 62 
怀 29883 
态 125056 
怂 218 
怄 28 
怅 106 
怆 36 
怍 4 
怎 31409 
怏 25 
怒 5931 
怔 48 
怕 16430 
怖 11250 
怙 4 
怜 1132 
思 77741 
怠 1430 
怡 4147 
急 57147 
怦 81 
性 260381 
怨 4154 
怩 2 
怪 6171 
怫 1 
怯 296 
怵 49 
总 222748 
怼 20 
怿 101 
恁 23 
恂 26 
恃 193 
恋 8896 
恍 541 
恐 26572 
恒 9887 
恕 370 
恙 344 
恚 1 
恢 14181 
恣 122 
恤 1318 
恨 2768 
恩 15772 
恪 1070 
恫 62 
恬 335 
恭 1397 
息 146847 
恰 7217 
恳 1331 
恶 16827 
恸 69 
恹 26 
恺 972 
恻 51 
恼 2616 
恽 129 
恿 163 
悄 4035 
悉 44472 
悌 94 
悍 498 
悒 2 
悔 4694 
悖 578 
悚 338 
悛 3 
悝 3 
悟 4072 
悠 4875 
患 50280 
悦 6773 
您 13394 
悫 3 
悬 6685 
悭 17 
悯 233 
悱 12 
悲 6489 
悴 148 
悸 461 
悻 62 
悼 1943 
情 242896 
惆 62 
惊 20630 
惋 432 
惑 5034 
惕 3173 
惘 100 
惚 223 
惜 5730 
惟 1293 
惠 45831 
惦 299 
惧 2451 
惨 3978 
惩 10514 
惫 676 
惬 562 
惭 178 
惮 326 
惯 12444 
惰 296 
想 139284 
惴 82 
惶 508 
惹 1832 
惺 188 
愁 3432 
愆 1 
愈 5917 
愉 1944 
愍 2 
愎 18 
意 253251 
愕 149 
愚 1131 
感 121653 
愠 17 
愣 400 
愤 3726 
愦 2 
愧 1901 
愫 149 
愿 63647 
慈 16999 
慌 3343 
慎 8495 
慑 3151 
慕 4218 
慢 19694 
慧 20847 
慨 3542 
慰 11515 
慵 161 
慷 1343 
憋 517 
憎 156 
憔 146 
憧 679 
憨 580 
憩 378 
憬 703 
憷 5 
憾 3564 
懂 8776 
懈 3876 
懊 308 
懋 243 
懑 57 
懒 2835 
懔 8 
懦 150 
懵 592 
懿 992 
戆 11 
戈 3570 
戊 247 
戌 71 
戍 199 
戎 551 
戏 28962 
成 647693 
我 428725 
戒 13272 
戕 53 
或 136545 
戗 13 
战 162705 
戚 4128 
戛 394 
戟 180 
戡 7 
戢 11 
截 32752 
戬 18 
戮 195 
戳 2449 
戴 14252 
户 154133 
戽 1 
戾 205 
房 163860 
所 271694 
扁 1672 
扇 3052 
扈 242 
扉 309 
手 224812 
扌 2 
才 121141 
扎 18692 
扑 4736 
扒 1852 
打 199317 
扔 3490 
托 37792 
扛 1916 
扣 17428 
扦 20 
执 99241 
扩 34749 
扪 82 
扫 14358 
扬 31025 
扭 4447 
扮 4348 
扯 2509 
扰 11797 
扳 710 
扶 58697 
批 95961 
扼 586 
找 57972 
承 75242 
技 189270 
抄 2966 
抉 610 
把 133789 
抑 5295 
抒 908 
抓 68314 
投 168184 
抖 1482 
抗 30088 
折 19845 
抚 6680 
抛 4778 
抟 6 
抠 554 
抡 123 
抢 37512 
护 129516 
报 470913 
抨 471 
披 6778 
抬 4436 
抱 13040 
抵 17262 
抹 3002 
抻 20 
押 10426 
抽 17971 
抿 60 
拂 427 
拄 296 
担 70158 
拆 20546 
拇 888 
拈 173 
拉 77909 
拊 4 
拌 1245 
拍 42085 
拎 913 
拐 4262 
